Id;Label;Author;Genre
Zwicker_CumDormirentHomines.txt;Petrus Zwicker, CDH;Petrus Zwicker;Medieval, polemic
Zwicker_RefutatioErrorum1.txt;Petrus Zwicker, Refutatio;Petrus Zwicker;Medieval, polemic
WilliamOfAuvergne_OperaOmnia.txt;William of Auvergne, OO;William of Auvergne;Medieval, other
AuctorIncertus-AugustinusHipponensis_SermonesSuppositiiDeDiversis.txt;Augustine (dub), Sermones DD;Augustine (dub);Patristic, sermon
Pseudo-HaymoHalberstatensis_DeVarietateLibrorum.txt;Ps-Haymo of Halberstadt, De varietate librorum;Ps-Haymo of Halberstadt;Medieval, florilegium
Augustinus_EnarrationesinPsalmos1.txt;Augustine, Enarrationes1;Augustine;Patristic, other
Augustinus_InEpistolamIoannisTractatus.txt;Augustine, In epistolam Ioannis;Augustine;Patristic, other
Augustinus_InIoannisevangeliumtractatus.txt;Augustine, In Ioannis evangelium;Augustine;Patristic, other
Bonaventura_Sermones.txt;Bonaventura, Sermones;Bonaventura;Medieval, sermon
InnocentiusIII_SermonesDeSanctis.txt;Innocentius III, Sermones DS;Innocentius III;Medieval, sermon
WasmudvonHomburg_TractatusContraHereticos.txt;Wasmud von Homburg, Tractatus;Wasmud von Homburg;Medieval, polemic
BibleVulgate.txt;Vulgata;n.a.;Bible
VincentFerrer_SermonesDeSanctis.txt;Vincent Ferrer, Sermones DS;Vincent Ferrer;Medieval, sermon
GregoriusI_Moralia.txt;Gregorius I, Moralia;Gregorius I;Patristic, other
AlbertusMagnus_Sermones.txt;Albertus Magnus, Sermones;Albertus Magnus;Medieval, sermon
Anon_LiberScintillarum.txt;Anonymous, Liber Scintillarum;Anonymous;Medieval, florilegium
Gratian_Decretum.txt;Gratian, Decretum;Gratian;Medieval, canon law
GregoriusI_HomiliaeInEvangelia.txt;Gregorius I, Homiliae;Gregorius I;Patristic, sermon
InnocentiusIII_SermonesDeDiversis.txt;Innocentius III, Sermones DD;Innocentius III;Medieval, sermon
MonetaCremonensis_AdversusCatharosEtValdenses.txt;Moneta of Cremona, Adversus;Moneta of Cremona;Medieval, polemic
Vienne_Canones_DEC.txt;Vienne, Canons;n.a.;Medieval, canon law
DurandOfHuesca_LiberAntiheresis.txt;Durand of Huesca, Liber antiheresis;Durand of Huesca;Medieval, polemic
PeterOfVerona_SummaContraHereticos.txt;Peter of Verona, Summa contra hereticos;Peter of Verona;Medieval, polemic
ThomasAquinas_SummaTheologiaeTertia.txt;Thomas Aquinas, Summa III;Thomas Aquinas;Medieval, other
Anon_DisputatioInterCatholicumEtPaterinum.txt;Anonymous, Disputationes ;Anonymous;Medieval, polemic
Augustinus_ContraDuasEpistulasPelegianorum.txt;Augustine, Contra duas epistulas;Augustine;Patristic, polemic
Augustinus_DeCivitateDei.txt;Augustine, De civitate dei;Augustine;Patristic, other
Augustinus_EnarrationesinPsalmos2.txt;Augustine, Enarrationes2;Augustine;Patristic, other
PetrusCluniacensis_Sermones.txt;Petrus Venerabilis, Sermones;Petrus Venerabilis;Medieval, sermon
ThomasAquinas_SummaContraGentiles.txt;Thomas Aquinas, Summa contra gent.;Thomas Aquinas;Medieval, polemic
AelredusRievallensis_SermonesDeTempore.txt;Aelred of Rievaulx, Sermones DT;Aelred of Rievaulx;Medieval, sermon
AugustinusHipponensis_SermonesDeSanctis.txt;Augustine, Sermones DS;Augustine;Patristic, sermon
Augustinus_ContraAdversariumLegisEtProphetarum.txt;Augustine, Contra adversarium;Augustine;Patristic, polemic
PaschasiusRadbertus_LiberDeCorporeEtSanguineDomini.txt;Paschasius Radbertus, Liber de corpore;Paschasius Radbertus;Medieval, other
PetrusCluniacensis_AdversusPetrobrusianosHaereticos.txt;Petrus Venerabilis, Adversus Petrobrusianos;Petrus Venerabilis;Medieval, polemic
PetrusDamianus_Sermones.txt;Peter Damian, Sermones;Peter Damian;Medieval, sermon
AlanusDeInsulis_ContraHaereticos.txt;Alain of Lille, Contra hereticos;Alain of Lille;Medieval, polemic
AlgerusLeodiensis_DeSacramentis.txt;Alger of Liège, De sacramentis;Alger of Liège;Medieval, other
Ambrose_DeFide.txt;Ambrose, De fide;Ambrose;Patristic, other
AndreasFlorentinus_SummaContraHereticos.txt;Andreas of Florence, Summa contra hereticos;Andreas of Florence;Medieval, polemic
